No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre-Planning ,Stage 3 Pre-Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,Site Start,Practical Completion
201,CAS CONSTRUCTION,Fingal,"The Obelisk, Strand Street, Skerries",5,Prosper Fingal,Stage 1 approved in Q1 2017 outline design and costs now being prepared,,,,,
202,CAS CONSTRUCTION,Fingal,"Church Road/Ladyswell Road, Mulhuddart",22,Cluid Housing Association,Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
203,CAS CONSTRUCTION,Fingal,"Balglass Road, Howth",15,Fold Ireland Housing Association,Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
204,CAS CONSTRUCTION,Fingal,"Estuary Road, Malahide",8,"Society of Saint Vincent 
de Paul",,,Stage 3 approved in Q3 2015 scheme now being tendered,,,
205,CAS CONSTRUCTION,Fingal,"22 College Street, Baldoyle",4,Cluid Housing Association,,,Stage 3 approved in Q3 2016 scheme now being tendered,,,
206,CAS CONSTRUCTION,Fingal,Ravenswood,6,Peter McVerry,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
207,CAS CONSTRUCTION,Fingal,"Darcystown, Ringfort, Balrothery",9,North & East Housing Association,,,,,Q2 2016,
208,SHIP CONSTRUCTION,Fingal,"Rathbeale Road, Swords",24,*N/A,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
209,SHIP CONSTRUCTION,Fingal,"Rivermeade, St. Margarets",6,*N/A,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
210,SHIP CONSTRUCTION,Fingal,Rowlestown,20,*N/A,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
211,SHIP CONSTRUCTION,Fingal,Cappaghfinn (Phase 2),32,*N/A,,,,"Stage 4 approval Q1 2017, scheme is now fully approved",,
212,SHIP CONSTRUCTION,Fingal,"Racecourse Common, Lusk (Phase 2)",74,*N/A,,,,,Q4 2016,
213,SHIP CONSTRUCTION,Fingal,"The Grange, Ballyboughal",8,*N/A,,,,,Q4 2016,
214,SHIP CONSTRUCTION,Fingal,Castlelands Part View (Phase 3),24,*N/A,,,,,Q1 2017,
215,SHIP CONSTRUCTION,Fingal,"St. Cronan's Green, Swords",14,*N/A,,,,,,Q2 2016
216,SHIP CONSTRUCTION,Fingal,Cappaghfinn (Phase 1),14,*N/A,,,,,,Q2 2016
217,SHIP CONSTRUCTION,Fingal,"St. Conan's Cottages, Swords",1,*N/A,,,,,,Q2 2016
218,SHIP CONSTRUCTION RAPID,Fingal,"Hansfield, Dublin 15",36,*N/A,Stage 1 approved in Q1 2017 outline design and costs now being prepared,,,,,
219,SHIP CONSTRUCTION RAPID,Fingal,"Pinewood, Balbriggan",25,*N/A,,,,,Q1 2017,
220,SHIP CONSTRUCTION RAPID,Fingal,Wellview Mulhuddart,20,*N/A,,,,,Q1 2017,
221,CALF CONSTRUCTION TURNKEY,Fingal ,"Castlefield, Clonsilla, Dublin 11 ",62,Túath Housing Association,,,,,Q1 2017,
222,CALF CONSTRUCTION TURNKEY,Galway City,"Boireann Beag, Ros Cam, Galway",16,Cluid Housing Association,,,,,,Q4 2016
223,CALF CONSTRUCTION TURNKEY,Galway City,"Reilean, Roscam, Block 5 Galway",12,Túath Housing Association,,,,,Q4 2015,
224,CALF CONSTRUCTION TURNKEY,Galway City,"Reilean, Roscam,Block 4 Galway",12,Túath Housing Association,,,,,Q4 2015,
225,CALF CONSTRUCTION TURNKEY,Galway City,"Maoilin, Ballymoneen Road, Galway - Phase 1",2,Túath Housing Association,,,,,,Q1 2017
226,CALF CONSTRUCTION TURNKEY,Galway City,"Maoilin, Ballymoneen Road, Galway - Phase 2",4,Túath Housing Association,,,,,Q2 2015,
227,CAS CONSTRUCTION,Galway City,"Cul Garrai, Rahoon",6,Peter Triest Housing Association,Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
228,CAS CONSTRUCTION,Galway City,47 Forster Street,9,"Cope, Galway",,Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
229,CAS CONSTRUCTION,Galway City,97/98 Rockfield,4,Carrig Dubh Housing Association,,,,,Q3 2016,
230,SHIP CONSTRUCTION,Galway City,Ballymoneen Road (Phase 2),55,*N/A,Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
231,SHIP CONSTRUCTION,Galway City,Ballymoneen Road (Phase 1),14,*N/A,,,,"Stage 4 approval Q1 2017, scheme is now fully approved",,
232,CALF CONSTRUCTION,Galway County,"Spiddal Cottages, Co Galway - Phase 1",23,Cluid Housing Association,,,,Scheme approved for CALF funding Q1 2016,,
233,CALF CONSTRUCTION,Galway County,"Spiddal Cottages, Co Galway - Phase 2",8,Cluid Housing Association,,,,Scheme approved for CALF funding Q1 2016,,
234,CALF CONSTRUCTION TURNKEY,Galway County," Ballinasloe Area, Galway",39,Cluid Housing Association,,,,Scheme approved for CALF funding Q3 2016,,
235,CAS CONSTRUCTION,Galway County,Letterfrack (Phase 2) ÿÿÿÿÿ,11,Cluid Housing Association,Stage 1 approved in Q1 2017 outline design and costs now being prepared,,,,,
236,CAS CONSTRUCTION,Galway County,Mountbellew,5,Mountbellew Housing Association,Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
237,CAS CONSTRUCTION,Galway County,"Eanach Mheain, Carraroe",13,Tearmann Eanna Teo,Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
238,CAS CONSTRUCTION,Galway County,"Rossaveal Cottages, Ros a Mh¡l, South Connemara",8,Tearmann Eanna Teo,Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
239,CAS CONSTRUCTION,Galway County,Claregalway,12,Claregalway Housing Association,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
240,CAS CONSTRUCTION,Galway County,"Dunlo Hill, Ballinasloe",17,Cluid Housing Association,,,Stage 3 approved in Q1 2016 scheme now being tendered,,,
241,CAS CONSTRUCTION,Galway County,Letterfrack (Phase 1),13,Cluid Housing Association,,,,,,Q2 2016
242,SHIP CONSTRUCTION,Galway County,"Gort Mhailor, Athenry (Phase 2)",10,*N/A,Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
243,SHIP CONSTRUCTION,Galway County,"Weir Road, Tuam",30,*N/A,,Stage 2 approved in Q2 2016 full design/tender being prepared,,,,
244,SHIP CONSTRUCTION,Galway County,"Garbally Drive, Ballinasloe",10,*N/A,,Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
245,SHIP CONSTRUCTION,Galway County,"Esker Fields, Ballinasloe",2,*N/A,,Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
246,SHIP CONSTRUCTION,Galway County,"Gilmartin Road, Tuam",40,*N/A,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
247,CALF CONSTRUCTION TURNKEY,Kerry,"Cathair Lakes Farrantoreen Road, Killorglin",6,Cluid Housing Association,,,,,,Q2 2016
248,CAS CONSTRUCTION,Kerry,"22 College Road, Castleisland",4,Kerry Immigrants,,Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
249,CAS CONSTRUCTION,Kerry,"The Parsonage, Caherciveen",5,"Caherciveen Social 
Services",,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
250,CAS CONSTRUCTION,Kerry,"Armagh House, Killarney",6,Cluid Housing Association,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
251,CAS CONSTRUCTION,Kerry,Mitchels-Boherbee,16,Cluid Housing Association,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
252,REGENERATION,Kerry,"Urban Terrace, Tralee",2,*N/A,,,,,,Q4 2016
253,REGENERATION,Kerry,"Clonmore Road, Tralee",3,*N/A,,,,,,Q4 2016
254,SHIP CONSTRUCTION,Kerry,Rathmore/Barraduff,20,*N/A,Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
255,SHIP CONSTRUCTION,Kerry,"Ardmoneel, Killorglin",14,*N/A,Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
256,SHIP CONSTRUCTION,Kerry,"Killeen, Tralee",21,*N/A,,Stage 2 approved in Q2 2016 full design/tender being prepared,,,,
257,SHIP CONSTRUCTION,Kerry,"Courthouse Lawn, Listowel",7,*N/A,,Stage 2 approved in Q2 2016 full design/tender being prepared,,,,
258,SHIP CONSTRUCTION,Kerry,"Ardbhearna, Kenmare",22,*N/A,,Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
259,SHIP CONSTRUCTION,Kerry,Milltown,8,*N/A,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
260,SHIP CONSTRUCTION,Kerry,Bill Kinnerk Road,4,*N/A,,,Stage 3 approved in Q2 2016 scheme now being tendered,,,
261,SHIP CONSTRUCTION,Kerry,Single Rural Dwellings,3,*N/A,,,Stage 3 approved in Q4 2016 scheme now being tendered,,,
262,SHIP CONSTRUCTION,Kerry,"The Park, Killarney",20,*N/A,,,,,Q1 2017,
263,SHIP CONSTRUCTION,Kerry,Lixnaw,4,*N/A,,,,,Q1 2017,
264,SHIP CONSTRUCTION,Kerry,"Ashgrove, Listowel",1,*N/A,,,,,Q3 2016,
265,SHIP CONSTRUCTION TURNKEY,Kerry,"Ard Na Si, Lispole",10,*N/A,Stage 1 approved in Q1 2017 outline design and costs now being prepared,,,,,
266,REGENERATION,Kerry ,"Cro¡lar Na Mistaelach, Tralee",11,*N/A,,,Stage 3 approved in Q4 2016 scheme now being tendered,,,
267,REGENERATION,Kerry ,"St Martin's Park, Tralee",4,*N/A,,,Stage 3 approved in Q4 2016 scheme now being tendered,,,
268,REGENERATION,Kerry ,"Dingle Road, Tralee",1,*N/A,,,,,Q1 2017,
269,CALF CONSTRUCTION TURNKEY,Kildare,"Roseberry Hill, Newbridge - Phase 1",13,Túath Housing Association,,,,Scheme approved for CALF funding Q4 2016,,
270,CALF CONSTRUCTION TURNKEY,Kildare,"Roseberry Hill, Newbridge - Phase 2",32,Túath Housing Association,,,,,Q2 2016,
271,CALF CONSTRUCTION TURNKEY,Kildare,"Glebelands, Carlow Rd., Athy",44,Cluid Housing Association,,,,Scheme approved for CALF funding Q1 2017,,
272,CALF CONSTRUCTION TURNKEY,Kildare,"The Pike, Shenagun, Castledermot",6,Respond!,,,,Scheme approved for CALF funding Q1 2017,,
273,CAS CONSTRUCTION,Kildare,"Jigginstown House, Naas",14,Homeless Care Ltd,Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
274,CAS CONSTRUCTION,Kildare,"27 Mansfield Grove, Athy",4,KARE,Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
275,CAS CONSTRUCTION,Kildare,"El Kantara, Newbridge",2,KARE,Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
276,CAS CONSTRUCTION,Kildare,"Main St., Kilcullen",4,Camphill Communities of Ireland,Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
277,CAS CONSTRUCTION,Kildare,"Craddockstown, Naas",3,KARE,Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
278,SHIP CONSTRUCTION,Kildare,"Rathasker, Naas",50,*N/A,Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
279,SHIP CONSTRUCTION,Kildare,"Hillview Terrace, Narraghmore",4,*N/A,Stage 1 approved in Q1 2017 outline design and costs now being prepared,,,,,
280,SHIP CONSTRUCTION,Kildare,Rathangan,18,*N/A,Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
281,SHIP CONSTRUCTION,Kildare,Athgarvan Village,30,*N/A,Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
282,SHIP CONSTRUCTION,Kildare,Bishopsland,32,*N/A,,Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
283,SHIP CONSTRUCTION,Kildare,Prosperous,12,*N/A,,Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
284,SHIP CONSTRUCTION,Kildare,"Athgarvan Road, Newbridge",13,*N/A,,,Stage 3 approved in Q1 2016 scheme now being tendered,,,
285,SHIP CONSTRUCTION,Kildare,Kilcock (Phase 2),20,*N/A,,,,,Q4 2016,
286,CALF CONSTRUCTION,Kilkenny,"Walkin Street, Kilkenny",43,Oaklee Housing Trust,,,,Scheme approved for CALF funding Q1 2014,,
287,CALF CONSTRUCTION,Kilkenny,"Golf Links Road, Kilkenny",39,Respond!,,,,Scheme approved for CALF funding Q4 2015,,
288,CALF CONSTRUCTION TURNKEY,Kilkenny,North Kilkenny,9,Oaklee Housing Trust,,,,Scheme approved for CALF funding Q4 2016,,
289,CAS CONSTRUCTION,Kilkenny,"Greenshill, Kilkenny",6,"The Good Shepherd 
Centre",Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
290,CAS CONSTRUCTION,Kilkenny,Good Shepherd Centre - Wing 1952,12,"The Good Shepherd 
Centre",,Stage 2 approved in Q2 2015 full design/tender being prepared,,,,
291,CAS CONSTRUCTION,Kilkenny,"Ballytobin, Callan",4,Camphill Communities of Ireland,,Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
292,CAS CONSTRUCTION,Kilkenny,"Golf Links Road, Kilkenny",15,Respond!  ,,Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
293,CAS CONSTRUCTION,Kilkenny,Nimble Spaces Project at Callan,16,Camphill Communities of Ireland,,Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
294,CAS CONSTRUCTION,Kilkenny,"""Brooke House"", Thomastown",5,Camphill Communities of Ireland,,,,,Q3 2016,
295,CAS CONSTRUCTION,Kilkenny,"Friary Walk, Callan",12,Cluid Housing Association,,,,,,Q3 2016
296,SHIP CONSTRUCTION,Kilkenny,"The Butts, Kilkenny",22,*N/A,Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
297,SHIP CONSTRUCTION,Kilkenny,"Abbeyquarter Vicar Street, Kilkenny",30,*N/A,Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
298,SHIP CONSTRUCTION,Kilkenny,"Donaguile, Castlecomer",18,*N/A,Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
299,SHIP CONSTRUCTION,Kilkenny,"Robertshill, Kilkenny",10,*N/A,Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
300,SHIP CONSTRUCTION,Kilkenny,"Main Street, Piltown",18,*N/A,Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
301,SHIP CONSTRUCTION,Kilkenny,"Station Road, Ballyragget",14,*N/A,Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
302,SHIP CONSTRUCTION,Kilkenny,"Bolton, Callan",39,*N/A,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
303,SHIP CONSTRUCTION,Kilkenny,"Rosehill, Kells Road, Kilkenny",6,*N/A,,,,,,Q1 2017
304,SHIP CONSTRUCTION,Kilkenny,"Gaol Rooad, Kilkenny",10,*N/A,,,,,,Q3 2016
305,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Togher Way, Urlingford",11,*N/A,,,,,Q1 2017,
306,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Newpark, Castlecomer Road, Kilkenny",7,*N/A,,,,,Q1 2016,
307,SHIP CONSTRUCTION,Kilkenny ,Greensbridge House ,5,*N/A,Stage 1 approved in Q1 2017 outline design and costs now being prepared,,,,,
308,SHIP CONSTRUCTION TURNKEY,Kilkenny ,"Abbeygate, Ferrybank",11,*N/A,Stage 1 approved in Q1 2017 outline design and costs now being prepared,,,,,
309,CALF CONSTRUCTION,Laois,Cluin Inn Mountrath,11,Oaklee Housing Trust,,,,Scheme approved for CALF funding Q2 2015,,
310,CALF CONSTRUCTION TURNKEY,Laois,"Wilton Lawns, Portarlington",2,Túath Housing Association,,,,Scheme approved for CALF funding Q4 2016,,
311,CAS CONSTRUCTION,Laois,"St. Fintan's Hospital, Dublin Road, Portlaoise",8,Oaklee Housing Trust,Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
312,CAS CONSTRUCTION,Laois,"Abbeyleix Road, Portlaoise",16,Respond!  ,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
313,SHIP CONSTRUCTION,Laois,"Main Street, Rathdowney",5,*N/A,Stage 1 approved in Q1 2017 outline design and costs now being prepared,,,,,
314,SHIP CONSTRUCTION,Laois,"Ballymorris Road, Portarlington",20,*N/A,Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
315,SHIP CONSTRUCTION,Laois,"Shannon Street, Mountrath",8,*N/A,,Stage 2 approved in Q1 2016 full design/tender being prepared,,,,
316,SHIP CONSTRUCTION,Laois,"Gleann na Glaise, Ballyroan",10,*N/A,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
317,SHIP CONSTRUCTION,Laois,"Harpurs Lane, Portlaoise ",1,*N/A,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
318,SHIP CONSTRUCTION,Laois,Pattison Est. Mountmellick,10,*N/A,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
319,SHIP CONSTRUCTION,Laois,"Conniberry Way, Old Knockmay Road, Portlaoise",33,*N/A,,,,,Q4 2016,
320,CALF CONSTRUCTION TURNKEY,Laois ,"Bracklone Court, Bracklone, Portarlington",8,Co-operative Ireland,,,,Scheme approved for CALF funding Q1 2017,,
321,CALF CONSTRUCTION TURNKEY,Laois ,"31-36 Droimnin, Stradbally",6,Cluid Housing Association,,,,Scheme approved for CALF funding Q1 2017,,
322,CAS CONSTRUCTION,Leitrim,Ballinamore,2,"Society of Saint Vincent 
de Paul",,,,"Stage 4 approval Q1 2017, scheme is now fully approved",,
323,SHIP CONSTRUCTION,Leitrim,"Summerhill, Carrick on Shannon  ",20,*N/A,Stage 1 approved in Q1 2017 outline design and costs now being prepared,,,,,
324,SHIP CONSTRUCTION,Leitrim,"Taobh Tire, Manorhamilton (Phase 2)",7,*N/A,,,,"Stage 4 approval Q1 2017, scheme is now fully approved",,
325,CALF CONSTRUCTION,Limerick,"Hyde Road, Limerick City",20,Cluid Housing Association,,,,,Q3 2016,
326,CALF CONSTRUCTION TURNKEY,Limerick,Mungret Area,8,Cluid Housing Association,,,,,Q4 2016,
327,CAS CONSTRUCTION,Limerick,Cappamore,12,Cappamore Housing Association,Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
328,CAS CONSTRUCTION,Limerick,"Towerfield Crescent, Croom",10,Croom Housing Assoc,Stage 1 approved in Q1 2017 outline design and costs now being prepared,,,,,
329,CAS CONSTRUCTION,Limerick,"Drominbeg, Rhebogue",21,NABCO,Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
330,CAS CONSTRUCTION,Limerick,"Cuan Mhuire, Bruree",6,"Cuan Mhuire, Bruree",,,Stage 3 approved in Q4 2016 scheme now being tendered,,,
331,CAS CONSTRUCTION,Limerick,"Speakers Corner, Limerick City ",4,Mid West Simon,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
332,REGENERATION,Limerick,Orchard Site,27,*N/A,Stage 1 approved in Q1 2013 outline design and costs now being prepared,,,,,
333,REGENERATION,Limerick,Carew Park,37,*N/A,Stage 1 approved in Q1 2015 outline design and costs now being prepared,,,,,
334,REGENERATION,Limerick,Markievicz Drive,13,*N/A,Stage 1 approved in Q1 2015 outline design and costs now being prepared,,,,,
335,REGENERATION,Limerick,Dalgaish Park,17,*N/A,Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
336,REGENERATION,Limerick,"Lord Edward Street, P2: Main Contract*",81,*N/A,,,,,Q1 2016,
337,REGENERATION,Limerick,Gaol Lane New Build,1,*N/A,,Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
338,REGENERATION,Limerick,Sheep / Athlunkards Street,8,*N/A,,Stage 2 approved in Q2 2014 full design/tender being prepared,,,,
339,REGENERATION,Limerick,"Churchfield, Phase 1",42,*N/A,,,,,Q3 2016,
340,REGENERATION,Limerick,"Churchfield, Phase 2",38,*N/A,,Stage 2 approved in Q4 2014 full design/tender being prepared,,,,
341,REGENERATION,Limerick,Cosgrave Park,30,*N/A,,Stage 2 approved in Q1 2015 full design/tender being prepared,,,,
342,REGENERATION,Limerick,Palm Close,26,*N/A,,Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
343,REGENERATION,Limerick,176-177 Cliona Park ,2,*N/A,,,,,,Q2 2016
344,REGENERATION,Limerick,Cliona Park Phase 2,10,*N/A,,,,,Q4 2015,
345,REGENERATION,Limerick,8-10 Gaol Lane,3,*N/A,,,,,,Q4 2016
346,REGENERATION,Limerick,1-3 Weston Gardens,3,*N/A,,,,,,Q2 2016
347,REGENERATION,Limerick,Moyross Rebuild,6,*N/A,,,,,,Q4 2016
348,REGENERATION,Limerick,Southhill Rebuild,8,*N/A,,,,,,Q4 2016
349,REGENERATION,Limerick,St. Mary's Park Rebuild,9,*N/A,,,,,,Q4 2016
350,REGENERATION,Limerick,BCW Rebuild,14,*N/A,,,,,,Q4 2016
351,REGENERATION,Limerick,St. Mary's Park Infills,19,*N/A,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
352,REGENERATION,Limerick,Cliona Park Phase 3,18,*N/A,,Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
353,REGENERATION,Limerick,45-46 Cliona Park,2,*N/A,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
354,SHIP CONSTRUCTION,Limerick,"Clare Street, Limerick City",6,*N/A,Stage 1 approved in Q1 2014 outline design and costs now being prepared,,,,,
355,SHIP CONSTRUCTION,Limerick,"Hassett Villas, Thomondgate",3,*N/A,Stage 1 approved in Q1 2014 outline design and costs now being prepared,,,,,
356,SHIP CONSTRUCTION,Limerick,"Brannigans Site, Musgrave Street",15,*N/A,Stage 1 approved in Q1 2017 outline design and costs now being prepared,,,,,
357,SHIP CONSTRUCTION,Limerick,"Patrick?s Villas, Castleconnell",5,*N/A,Stage 1 approved in Q1 2017 outline design and costs now being prepared,,,,,
358,SHIP CONSTRUCTION,Limerick,"Clonmacken, Limerick City",40,*N/A,Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
359,SHIP CONSTRUCTION,Limerick,"Deerpark, Adare",30,*N/A,Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
360,SHIP CONSTRUCTION,Limerick,"Glenview Drive, Hospital",20,*N/A,Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
361,SHIP CONSTRUCTION,Limerick,"Lisheen Park, Patrickswell",20,*N/A,Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
362,SHIP CONSTRUCTION,Limerick,"Wallers Well, Limerick City (Phase 2)",18,*N/A,Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
363,SHIP CONSTRUCTION,Limerick,"Joseph Street, Limerick City",3,*N/A,Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
364,SHIP CONSTRUCTION,Limerick,"Site Adj. to Athlunkard Boat Club, Limerick City",4,*N/A,Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
365,SHIP CONSTRUCTION,Limerick,Sexton Street North & Kileely Court,10,*N/A,Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
366,SHIP CONSTRUCTION,Limerick,"Childers Road, Limerick City",24,*N/A,Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
367,SHIP CONSTRUCTION,Limerick,"Chas Flats, Limerick City",3,*N/A,Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
368,SHIP CONSTRUCTION,Limerick,"1-12 Burke Avenue, Limerick City ",12,*N/A,Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
369,SHIP CONSTRUCTION,Limerick,"Gough Place, Rosbrien Road, Limerick",7,*N/A,Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
370,SHIP CONSTRUCTION,Limerick,"Rathbane Road, Limerick City",2,*N/A,Stage 1 approved in Q4 2013 outline design and costs now being prepared,,,,,
371,SHIP CONSTRUCTION,Limerick,"Sycamore Avenue, Limerick City",4,*N/A,Stage 1 approved in Q4 2013 outline design and costs now being prepared,,,,,
372,SHIP CONSTRUCTION,Limerick,"Kilmurry Court, Garryowen",6,*N/A,,Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
373,CALF CONSTRUCTION TURNKEY,Longford,"Cartrun Breac, Lisbrack Rd, Longford",7,Cluid Housing Association,,,,,,Q1 2017
374,SHIP CONSTRUCTION,Longford,"Church View, Lanesborough",13,*N/A,Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
375,SHIP CONSTRUCTION,Longford,"Rathcline Rd, Lanesborough",4,*N/A,,Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
376,SHIP CONSTRUCTION,Longford,"Edgeworthstown Road, Ballymahon",4,*N/A,,,,"Stage 4 approval Q1 2017, scheme is now fully approved",,
377,SHIP CONSTRUCTION TURNKEY,Longford,"Mill Race Park, Drumlish",14,*N/A,,,,,Q4 2016,
378,CALF CONSTRUCTION,Louth,"Scarlett Street, Drogheda",15,North & East Housing Association,,,,Scheme approved for CALF funding Q3 2016,,
379,CALF CONSTRUCTION,Louth,"Clos na Manach, Carlingford",10,Túath Housing Association,,,,Scheme approved for CALF funding Q4 2016,,
380,CALF CONSTRUCTION,Louth,"2 Slieve Row Crescent, Dundalk",1,Cluid Housing Association,,,,,,Q2 2016
381,CALF CONSTRUCTION,Louth,Rath na Gloinne,3,Cluid Housing Association,,,,,,Q3 2016
382,CALF CONSTRUCTION TURNKEY,Louth,"Castle Court, Castlebellingham - Phase 1",4,Cluid Housing Association,,,,,,Q1 2017
383,CALF CONSTRUCTION TURNKEY,Louth,"Castle Court, Castlebellingham - Phase 2",10,Cluid Housing Association,,,,,,Q1 2017
384,CALF CONSTRUCTION TURNKEY,Louth,"Castleguard, Ardee",106,Túath Housing Association,,,,Scheme approved for CALF funding Q1 2017,,
385,CALF CONSTRUCTION TURNKEY,Louth,Coulter Place Armagh Road Dundalk Phase 1,10,Cluid Housing Association,,,,,,Q1 2017
386,CALF CONSTRUCTION TURNKEY,Louth,Coulter Place Armagh Road Dundalk Phase 2,12,Cluid Housing Association,,,,Scheme approved for CALF funding Q4 2016,,
387,CALF CONSTRUCTION TURNKEY,Louth,"Liscorrie, Bog Lane, Drogheda",41,Túath Housing Association,,,,,Q4 2016,
388,CALF CONSTRUCTION TURNKEY,Louth,"Rathmullen Road, Drogheda",35,North & East Housing Association,,,,Scheme approved for CALF funding Q4 2016,,
389,CALF CONSTRUCTION TURNKEY,Louth,"Rathmullen Road, Drogheda",35,Túath Housing Association,,,,Scheme approved for CALF funding Q4 2016,,
390,CALF CONSTRUCTION TURNKEY,Louth,Aston Village,8,Respond!,,,,Scheme approved for CALF funding Q4 2016,,
391,CALF CONSTRUCTION TURNKEY,Louth,"Mount Hamilton, Dundalk",43,Cluid Housing Association,,,,,Q4 2016,
392,CALF CONSTRUCTION TURNKEY,Louth,"Racecourse Road, Dundalk",14,Oaklee Housing Trust,,,,,Q1 2017,
393,CALF CONSTRUCTION TURNKEY,Louth,"Dublin Road, Dundalk",31,Oaklee Housing Trust,,,,Scheme approved for CALF funding Q1 2017,,
394,CALF CONSTRUCTION TURNKEY,Louth,"Avourwen Meadows, Drogheda",50,Oaklee Housing Trust,,,,Scheme approved for CALF funding Q1 2017,,
395,CAS CONSTRUCTION,Louth,"Clontygora, Dundalk",11,Cluid Housing Association,Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
396,CAS CONSTRUCTION,Louth,"Castletowncooley, Riverstown, Dundalk",1,Túath Housing Association,Stage 1 approved in Q1 2017 outline design and costs now being prepared,,,,,
