No.,Funding Programme,Local Authority,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed
,SHIP CONSTRUCTION RAPID,Dublin City,"Belcamp H, Dublin 17",38,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION RAPID,Dublin City,"Cherry Orchard, Ballyfermot",24,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION RAPID,Dublin City,"Mourne Road, Drimnagh",29,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION RAPID,Dublin City,"St Helena's Drive, Finglas",39,*N/A,,,,,,Q3-2017
,SHIP CONSTRUCTION RAPID,Dublin City,"Poppintree, Ballymun",22,*N/A,,,,,,Q2-2016
,SHIP CONSTRUCTION RAPID,Dublin City,"Cherry Orchard, Ballyfermot - Rathvilly & Woodbank Drive Finglas",70,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION RAPID,Dublin City,"Belcamp C, Dublin 17",16,*N/A,,"Stage 2 approved in Q3-2015, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Dublin City,Hampton Wood,25,*N/A,,,,,,Q4-2016
,SHIP CONSTRUCTION,Dublin City,"Belcamp B, Dublin 17",12,*N/A,,"Stage 2 approved in Q3-2015, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Dublin City,"Bunratty Road Phase 1c, Dublin 17",78,*N/A,"Stage 1 approved in Q2-2015, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Dublin City,"Cornamona, Ballyfermot, Dublin 12",61,*N/A,,,"Stage 3 approved in Q1-2018, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Dublin City,"Infirmary Road, Dublin 7",38,*N/A,"Stage 1 approved in Q2-2015, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Dublin City,"North King Street, Dublin 7",30,*N/A,,,"Stage 3 approved in Q3-2017, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Dublin City,"Ballybough Road, Dublin 1",7,*N/A,,,,,Q1-2017,
,SHIP CONSTRUCTION,Dublin City,"St. Finbar's Court, Kilkieran Road, Dublin 7",46,*N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Dublin City,Priory Hall,9,*N/A,,,,,,Q1-2017
,SHIP CONSTRUCTION,Dublin City,Priory Hall,26,*N/A,,,,,Q2-2017,
,REGENERATION,Dublin City,St. Teresa's Gardens,50,*N/A,"Stage 1 approved in Q3-2013, outline design and costs are now being prepared.",,,,,
,REGENERATION,Dublin City,"Dolphin House, Dublin 8 (Phase 1)",100,*N/A,,,,,Q4-2016,
,REGENERATION,Dublin City,Dominick Street,72,*N/A,,,"Stage 3 approved in Q1-2018, the scheme is now being tendered.",,,
,REGENERATION,Dublin City,Sackville Avenue Cottages,12,*N/A,"Stage 1 approved in Q2-2016, outline design and costs are now being prepared.",,,,,
,REGENERATION,Dublin City,O'Devaney Gardens,56,*N/A,,,"Stage 3 approved in Q1-2018, the scheme is now being tendered.",,,
,REGENERATION,Dublin City,Charlemont,79,*N/A,,,,,,Q4-2017
,REGENERATION,Dublin City,Maxwell Road,9,*N/A,,,,,,Q2-2016
,REGENERATION,Dublin City,"Buttercup, Darndale",19,*N/A,,,,,,Q4-2017
,REGENERATION,Dublin City,"Buttercup, Darndale",16,*N/A,,,,,Q2-2017,
,PUBLIC PRIVATE PARTNERSHIP (Bundle 1),Dublin City,"Ayrfield, Malahide Road",150,*N/A,,,Q1 2018,,,
,PUBLIC PRIVATE PARTNERSHIP (Bundle 1),Dublin City,Scribblestown,70,*N/A,,,Q1 2018,,,
,CAS CONSTRUCTION,Dublin City,"38/39 Bolton Street, Dublin 1",8,Arlington Novas Ireland Ltd,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Dublin City,Beech Hill,19,Royal Hospital Donnybrook Voluntary Housing Association Ltd,,,,,Q4-2017,
,CAS CONSTRUCTION,Dublin City,"Ellis Court, Dublin",23,Túath Housing Association,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Dublin City,"""Martanna House"" High Park, Grace Park Road,Dublin 9",8,Respond,,,,,Q4-2017,
,CAS CONSTRUCTION,Dublin City,"1 - 2 Rafter's Lane, Dublin 12",11,Walkinston Housing Association Ltd (WALK),,,,"Stage 4 approved in Q1-2018, the scheme is now fully approved.",,
,CAS CONSTRUCTION,Dublin City,180-187 Townsend Street,18,Peter McVerry Trust Ltd,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Dublin City,"Old Kilmainham Road, Dublin 8",11,Arlington Novas Ireland Ltd,"Stage 1 approved in Q1-2017, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Dublin City,"26 New Street South, Dublin 8",8,Peter McVerry Trust Ltd,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Dublin City,"Broome Lodge, Dunmanus, Dublin 7",10,Cluid Housing Association,,,,,,Q4-2017
,CAS CONSTRUCTION,Dublin City,"St Agatha's Court, North William Street, Dublin 1",11,Peter McVerry Trust Ltd,,,,,,Q2-2017
,CAS CONSTRUCTION,Dublin City,"55B Arbour Hill, Dublin 7",18,Simon Community : Dublin Simon,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Dublin City,"St. Michael's Estate, Inchicore, Dublin 8 - Housing Pilot Project ",52,Circle Voluntary Housing Association Ltd,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Dublin City,"61 & 63 Rathoath Avenue, Finglas, Dublin 11",6,Arlington Novas Ireland Ltd,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Dublin City,"Debtor's Prison, Green Street, Dublin 7",12,Peter McVerry Trust Ltd,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Dublin City,"Shaw Street, Dublin 2",12,Peter McVerry Trust Ltd,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,CALF CONSTRUCTION TURNKEY,Dublin City,"St Agnes Convent, Armagh Road, Crumlin, Dublin 12",97,Fold Ireland Housing Association,,,,,Q1-2017,
,CALF CONSTRUCTION TURNKEY,Dublin City,"Clongriffin, Dublin 13",84,The Iveagh Trust,,,,,Q3-2017,
,CALF CONSTRUCTION TURNKEY,Dublin City,"Long Mile Road, Dublin 12",61,Respond!,,,,,Q2-2017,
,CALF CONSTRUCTION TURNKEY,Dublin City,"Thornwood, Beaumont - Phase 1",46,Túath Housing Association,,,,,,Q3-2016
,CALF CONSTRUCTION TURNKEY,Dublin City,"Stormanstown Hall, Ballymun Road, (revised)",42,Oaklee Housing Trust,,,,,Q4-2016,
,CALF CONSTRUCTION TURNKEY,Dublin City,"Thornwood, Beaumont - Final Phase",22,Túath Housing Association,,,,,,Q1-2017
,CALF CONSTRUCTION TURNKEY,Dublin City,"An Riasc, Farnham Drive, Finglas - Phase 2",21,Túath Housing Association,,,,,,Q1-2017
,CALF CONSTRUCTION TURNKEY,Dublin City,"Chanel College, Coolock Village, Malahide Road, Dublin 5",16,Respond!,,,,,,Q4-2017
,CALF CONSTRUCTION TURNKEY,Dublin City,"An Riasc, Farnham Drive, Finglas - Phase 1",14,Túath Housing Association,,,,,,Q4-2016
,CALF CONSTRUCTION TURNKEY,Dublin City,"An Riasc, Farnham Drive, Finglas - Phase 3",10,Túath Housing Association,,,,,,Q2-2017
,CALF CONSTRUCTION TURNKEY,Dublin City,"175 176 North Strand Road, 5 Lamps, Dublin 1",10,Co-operative Housing Ireland,,,,,Q1-2018,
,CALF CONSTRUCTION TURNKEY,Dublin City,"Milrose House, Bluebell Avenue, Dublin 12",8,Cluid Housing Association,,,,,,Q4-2017
,CALF CONSTRUCTION TURNKEY,Dublin City,"Merville Court, Merville Avenue, Fairview",5,Co operative Ireland,,,,,,Q1-2017
,CALF CONSTRUCTION TURNKEY,Dublin City,"Camac Place, Bluebell, Dublin 12",5,Oaklee Housing Trust,,,,Scheme approved for CALF funding Q2-2017,,
,CALF CONSTRUCTION TURNKEY,Dublin City,"An Riasc, Farnham Drive, Finglas - Final Phase",3,Túath Housing Association,,,,,,Q3-2017
,CALF CONSTRUCTION TURNKEY,Dublin City,"11 13 Crumlin Village, Dublin 12 Phase 1",3,Cluid Housing Association,,,,,,Q2-2017
,CALF CONSTRUCTION TURNKEY,Dublin City,"11 13 Crumlin Village, Dublin 12 Phase 2",2,Cluid Housing Association,,,,,,Q3-2017
,CALF CONSTRUCTION,Dublin City,"St Mary?s Mansions, Dublin 1",80,Cluid Housing Association,,,,,Q4-2017,
,CALF CONSTRUCTION,Dublin City,"Orchard Lawns, Ballyfermot",72,Co-operative Housing Ireland,,,,,Q4-2016,
,CALF CONSTRUCTION,Dublin City,"Annamore Court, Ballyfermot",70,The Iveagh Trust,,,,,,Q2-2017
,CALF CONSTRUCTION,Dublin City,"Tonlegee Road, Dublin 5 ",47,Fold Housing Association Ireland Ltd,,,,,Q4-2017,
,CALF CONSTRUCTION,Dublin City,"Dolphin Park, Rialto, Dublin 8",43,Fold Ireland Housing Association,,,,Scheme approved for Revised CALF funding Q3-2017,,
,CALF CONSTRUCTION,Dublin City,"Richmond Road, Dublin 9",39,Co-operative Housing Ireland,,,,,Q2-2017,
,CALF CONSTRUCTION,Dublin City,"Raleigh Court, Crumlin",33,Túath Housing Association,,,,,Q2-2017,
,CALF CONSTRUCTION,Dublin City,"Broome Lodge, Dunmanus Court, Cabra",33,Cluid Housing Association,,,,,,Q4-2017
,CALF CONSTRUCTION,Dublin City,"5 6 Johns Lane West, Dublin 8",31,Focus Ireland,,,,,Q2-2017,
,CALF CONSTRUCTION,Dublin City,"84 North King Street, Dublin 7 ",30,Co-operative Housing Ireland,,,,Scheme approved for CALF Funding Q4-2017,,
,CALF CONSTRUCTION,Dublin City,"Poplar Row, Dublin 3",29,Oaklee Housing Trust,,,,Scheme approved for revised CALF approval Q2-2017,,
,CALF CONSTRUCTION,Dublin City,"Harolds Cross, Dublin 6",28,Focus Ireland,,,,,,Q4-2016
,CALF CONSTRUCTION,Dublin City,Ballygall Road East - Phase 2,11,Fold Ireland Housing Association,,,,,,Q1-2016
,CALF CONSTRUCTION,Dublin City,"Wad River Close, Ballymun, Dublin 9",9,Cluid Housing Association,,,,Scheme re approved for approval Q3-2017,,
,CALF CONSTRUCTION,Dublin City,"Dominic Place, Dublin",9,The Paddy McGrath Housing Project,,,,Scheme approved for CALF funding Q2-2017,,
,SHIP CONSTRUCTION TURNKEY,Fingal,"Blackmills Grove, Blakestown Road, Mulhuddard",10,*N/A,,,,,,Q2-2017
,SHIP CONSTRUCTION TURNKEY,Fingal,"Balgriffin Grove, Malahide Road, Balgriffin",6,*N/A,,,,,,Q1-2017
,SHIP CONSTRUCTION TURNKEY,Fingal,"Hansfield (Phase 1), Ongar, Dublin 15",16,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION TURNKEY,Fingal,"Hansfield (Phase 2), Ongar, Dublin 15",16,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION RAPID,Fingal,"Avondale, Mulhuddart, Dublin 15",42,*N/A,,,,"Stage 4 approved in Q1-2018, the scheme is now fully approved.",,
,SHIP CONSTRUCTION RAPID,Fingal,"Hansfield, Ongar, Dublin 15",36,*N/A,,,,,,Q3-2017
,SHIP CONSTRUCTION RAPID,Fingal,"Pinewood, Balbriggan",20,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION RAPID,Fingal,"Wellview, Mulhuddart",20,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION RAPID,Fingal,"Church Road, Mulhuddart, Dublin 15",22,*N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Fingal,"Rivermeade, St. Margarets",2,*N/A,,"Stage 2 approved in Q1-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Fingal,Rowlestown,20,*N/A,,,,"Stage 4 approved in Q4-2017, the scheme is now fully approved.",,
,SHIP CONSTRUCTION,Fingal,"Racecourse Common, Lusk (Phase 2.3)",34,*N/A,,,,,Q4-2016,
,SHIP CONSTRUCTION,Fingal,Cappaghfinn (Phase 2),28,*N/A,,,Stage 3 approved in Q4-2016.,,,
,SHIP CONSTRUCTION,Fingal,Castlelands Part View (Phase 3),24,*N/A,,,,,Q1-2017,
,SHIP CONSTRUCTION,Fingal,"Rathbeale Road, Swords",24,*N/A,,"Stage 2 approved in Q1-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Fingal,"The Grange, Ballyboughal (Part 1)",2,*N/A,,,,,,Q3-2017
,SHIP CONSTRUCTION,Fingal,Cappaghfinn (Phase 1),14,*N/A,,,,,,Q2-2016
,SHIP CONSTRUCTION,Fingal,"St. Cronan's Green, Swords",14,*N/A,,,,,,Q2-2016
,SHIP CONSTRUCTION,Fingal,"St. Conan's Cottages, Swords",1,*N/A,,,,,,Q2-2016
,SHIP CONSTRUCTION,Fingal,"Racecourse Common, Lusk (Phase 2.1)",25,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION,Fingal,"The Grange, Ballyboughal (Part 2)",6,*N/A,,,,,Q4-2016,
,SHIP CONSTRUCTION,Fingal,"Racecourse Commons, Lusk (Phase 2.2) ",15,*N/A,,,,,,Q1-2018
,CAS CONSTRUCTION,Fingal,Killhedge Lane Dun Emer,48,Túath Housing Association,"Stage 1 approved in Q1-2017, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Fingal,"Ravenswood, North Road, Finglas",6,Peter McVerry Trust Ltd,,,,,Q1-2018,
,CAS CONSTRUCTION,Fingal,"22 College Street, Baldoyle",4,Cluid Housing Association,,"Stage 2 approved in Q3-2016, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Fingal,"Darcystown, Ringfort, Balrothery",9,North ? East Housing Association Ltd,,,,,,Q3-2017
,CAS CONSTRUCTION,Fingal,"Estuary Road, Malahide",8,Society of Saint Vincent de Paul,,,,,Q2-2017,
,CALF CONSTRUCTION TURNKEY,Fingal,"The Hermitage, Balgriffin, Co. Dublin *",54,Cluid Housing Association,,,,,,Q4-2017
,CALF CONSTRUCTION TURNKEY,Fingal,"The Gallery, Donabate",43,Oaklee Housing Trust,,,,,Q2-2017,
,CALF CONSTRUCTION TURNKEY,Fingal,"Weavers Walk, Clonsilla Road, Dublin 15",33,Co-operative Housing Ireland,,,,,Q3-2017,
,CALF CONSTRUCTION TURNKEY,Fingal,"Millers Glen, Oldtown, Swords",28,The Iveagh Trust,,,,,Q1-2018,
,CALF CONSTRUCTION TURNKEY,Fingal,"Castlegrange, Clonsilla - Phase 2",21,Túath Housing Association,,,,,,Q1-2017
,CALF CONSTRUCTION TURNKEY,Fingal,"Castlegrange, Clonsilla - Phase 1",19,Túath Housing Association,,,,,,Q4-2016
,CALF CONSTRUCTION TURNKEY,Fingal,"St Werburghs Court, Drynam Rd, Swords*",18,Túath Housing Association,,,,,,Q4-2017
,CALF CONSTRUCTION TURNKEY,Fingal,"St Marnock's Bay, Portmarnock *",10,Cluid Housing Association,,,,,,Q4-2017
,CALF CONSTRUCTION TURNKEY,Fingal,"Castlegrange, Clonsilla - Phase 3",8,Túath Housing Association,,,,,,Q2-2017
,CALF CONSTRUCTION TURNKEY,Fingal,"Ladyswell Road & Church Road, Mulhuddart, Dublin 15 ",43,Cluid Housing Association,,,,Scheme approved for CALF funding Q4-2017 post tender proposal ,,
,CALF CONSTRUCTION TURNKEY,Fingal,"Millers Glen, Phase 3, Oldtown, Swords",14,The Iveagh Trust,,,,Scheme approved for CALF funding Q1 2018,,
,SHIP CONSTRUCTION,Galway City,Ballymoneen Road (Phase 2),78,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Galway City,Ballymoneen Road (Phase 1),14,*N/A,,,,,Q2-2017,
,SHIP CONSTRUCTION,Galway City,"Ballinfoile Park, Headford Road (Infill Units)",10,*N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Galway City,Corrib Park (Infill Units),4,*N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Galway City,"Castlepark, Ballybane (Infill Units)",4,*N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Galway City,"Monivea Road, Ballybaan More, Galway",57,*N/A,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Galway City,97/98 Rockfield,4,Carraig Dubh Housing Association,,,,,,Q1-2018
,CAS CONSTRUCTION,Galway City,"Cul Garrai, Rahoon",6,Peter Triest Housing Association Ltd,"Stage 1 approved in Q3-2015, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Galway City,47 Forster Street,9,Cope Galway,,,"Stage 3 approved in Q1-2018, the scheme is now being tendered.",,,
,CALF CONSTRUCTION TURNKEY,Galway City,"Castlegar Road, Galway",81,Respond!,,,,Scheme approved for CALF funding Q2-2017,,
,CALF CONSTRUCTION TURNKEY,Galway City,"Maigh Rua, Doughiska, Galway",23,Co operative Ireland,,,,,,Q4-2017
,CALF CONSTRUCTION TURNKEY,Galway City,"Murrough, Renmore, Galway",20,Cluid Housing Association,,,,Scheme approved for CALF funding Q2-2017,,
,CALF CONSTRUCTION TURNKEY,Galway City,"Boireann Beag, Ros Cam, Galway",16,Cluid Housing Association,,,,,,Q4-2016
,CALF CONSTRUCTION TURNKEY,Galway City,"Reilean, Roscam, Block 5 Galway *",12,Túath Housing Association,,,,,,Q2-2017
,CALF CONSTRUCTION TURNKEY,Galway City,"Reilean, Roscam, Block 4 Galway *",12,Túath Housing Association,,,,,,Q2-2017
,CALF CONSTRUCTION TURNKEY,Galway City,"Maoilin, Ballymoneen Road, Galway - Phase 2 *",4,Túath Housing Association,,,,,,Q4-2017
,CALF CONSTRUCTION TURNKEY,Galway City,"Maoilin, Ballymoneen Road, Galway - Phase 1 *",2,Túath Housing Association,,,,,,Q1-2017
,CALF CONSTRUCTION TURNKEY,Galway City,"Cnoc na R¡, clybaun Road, Galway *",2,Cluid Housing Association,,,,,,Q3-2017
,CALF CONSTRUCTION TURNKEY,Galway City,"77, 80 and 81 Maoilin, Ballymoneen Road, Knocknacarra, Galway City",3,Cluid Housing Association,,,,Scheme approved for CALF funding Q1-2018,,
,SHIP CONSTRUCTION TURNKEY,Galway County,Kinvara,6,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Galway County,Athenry,14,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Galway County,Portumna,10,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION,Galway County,"Esker Fields, Ballinasloe",2,*N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Galway County,"Garbally Drive, Ballinasloe",10,*N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Galway County,"Weir Road, Tuam",30,*N/A,,,"Stage 3 approved in Q3-2017, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Galway County,"Culleen, Carraroe, Connemara",6,*N/A,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Galway County,Ardrahan (SRD),1,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION,Galway County,"Callowfinish, Carna (SRD)",1,*N/A,,,,,Q2-2017,
,SHIP CONSTRUCTION,Galway County,"Waterdale, Claregalway (SRD)",1,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Galway County,Corndulla (SRD),1,*N/A,,,"Stage 3 approved in Q1-2018, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Galway County,Cill Ciar n (SRD),1,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,Galway County,Kinvara (SRD),1,*N/A,,,,,Q2-2017,
,SHIP CONSTRUCTION,Galway County,Roundstone,10,*N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Galway County,"Sruchain an Chlair, Oughterard",10,*N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Galway County,"St. Joseph's, Clifden",23,*N/A,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Galway County,"Bridge Court, Ahascragh, Ballinasloe",16,*N/A,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Galway County,"Gilmartin Road, Tuam",61,*N/A,,,,,Q4-2017,
,CAS CONSTRUCTION,Galway County,Letterfrack (Phase 2),11,Cluid Housing Association,"Stage 1 approved in Q1-2017, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Galway County,"Rossaveal Cottages, Ros a Mh¡l, South Connemara",8,Tearmann Eanna Teoranta,"Stage 1 approved in Q4-2016, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Galway County,"Cregboy, Claregalway",14,Claregalway and District Day Care Centre,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
,CAS CONSTRUCTION,Galway County,"Eanach Mheain, Carraroe",13,Tearmann Eanna Teoranta,,"Stage 2 approved in Q2-2016, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Galway County,Mountbellew,5,Mountbellew Voluntary Homes Association,"Stage 1 approved in Q3-2015, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Galway County,"Springfield, Parkmore",4,Peter Triest Housing Association Ltd,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Galway County,Letterfrack (Phase 1),13,Cluid Housing Association,,,,,,Q2-2016
,CAS CONSTRUCTION,Galway County,"Dunlo Hill, Ballinasloe",17,Cluid Housing Association,,,"Stage 3 approved in Q1-2016, the scheme is now being tendered.",,,
,CAS CONSTRUCTION,Galway County,"Caheroyn, Athenry",1,Peter Triest Housing Association Ltd,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Galway County,"Aggard More, Craughwell",5,Peter Triest Housing Association Ltd,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Galway County,"The Old Post Office, Inverin",4,Tearmann Eanna Teoranta,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,CALF CONSTRUCTION TURNKEY,Galway County,"Cnoc na Si, Portumna",10,Co-operative Housing Ireland,,,,,Q4-2016,
,CALF CONSTRUCTION TURNKEY,Galway County,"Vicars Choral, Tuam, Co Galway ",13,Co-operative Housing Ireland,,,,Scheme approved for CALF Funding Q4-2017,,
,CALF CONSTRUCTION TURNKEY,Galway County,"Cnoc na Si, Portumna",3,Co-operative Housing Ireland,,,,,Q4-2016,
,CALF CONSTRUCTION,Galway County,"Spiddal Cottages, Co Galway - Phase 1",23,Cluid Housing Association,,,,,,Q3-2017
,CALF CONSTRUCTION,Galway County,"Spiddal Cottages, Co Galway - Phase 2",8,Cluid Housing Association,,,,,Q1-2017,
,SHIP CONSTRUCTION TURNKEY,Kerry,"Ard Na Si, Lispole (Phase 2)",8,*N/A,,,,,Q2-2017,
,SHIP CONSTRUCTION TURNKEY,Kerry,"Ard Na Si, Lispole (Phase 1)",2,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION TURNKEY,Kerry,"Cahirdown Wood, Listowel",38,*N/A,,,,"Stage 4 approved in Q3-2017, the scheme is now fully approved.",,
,SHIP CONSTRUCTION TURNKEY,Kerry,"1-4 Steeple Meadow View, Milltown",4,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Kerry,"1-9 Meadow Park, Milltown (Phase 2)",7,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION TURNKEY,Kerry,"1-9 Meadow Park, Milltown (Phase 1)",2,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION,Kerry,"Ardmoneel, Killorglin",14,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Kerry,Rathmore/Barraduff,20,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Kerry,"Ardbhearna, Kenmare",22,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Kerry,"Bill Kinnerk Road, Tralee",4,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION,Kerry,Milltown,8,*N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Kerry,"Killeen, Tralee",21,*N/A,,,,"Stage 4 approved in Q1-2018, the scheme is now fully approved.",,
,SHIP CONSTRUCTION,Kerry,Lixnaw,4,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION,Kerry,"The Park, Killarney",20,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION,Kerry,"Courthouse Lawn, Listowel",7,*N/A,,,"Stage 3 approved in Q1-2018, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Kerry,"Dreenagh, Ballyheigue (SRD)",1,*N/A,,,,,,Q1-2017
,SHIP CONSTRUCTION,Kerry,"Marconi Avenue, Ballybunion",20,*N/A,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Kerry,"Callinafercy, Milltown",1,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION,Kerry,"Cahernaboshina, Ventry",1,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Kerry,"Balloonagh, Tralee",28,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Kerry,"Pinewood Estate, Killarney",1,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION,Kerry,"Drom West, Glenbeigh",1,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION,Kerry,"Meanus, Killorglin",1,*N/A,,,"Stage 3 approved in Q3-2017, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Kerry,"Tullig Beg, Killorglin",1,*N/A,,,"Stage 3 approved in Q3-2017, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Kerry,"Owngarry, killorglin",1,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION,Kerry,"Lohercannon, Tralee",56,*N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Kerry,"BallinaKilly Lower, Glenbeigh",1,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION,Kerry,"Ashgrove, Listowel",1,*N/A,,,,,,Q3-2017
,SHIP CONSTRUCTION,Kerry,"Cullenagh Upper, Beaufort",1,*N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Kerry,"Farranwilliam, Ardfert",24,*N/A,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,REGENERATION,Kerry,"Croilar Na Mistaelach, Tralee",11,*N/A,,,,,Q2-2017,
,REGENERATION,Kerry,"Urban Terrace, Tralee",2,*N/A,,,,,,Q4-2016
,REGENERATION,Kerry,"Clonmore Road, Tralee",3,*N/A,,,,,,Q4-2016
